inode,jnode,@l_count,@l_count_type,@m_count,@direction
40347,221796,1111,2,0,2
40350,240853,2043,2,1417,1
40420,204685,1037,1,0,2
41018,67692,19,3,0,1
41053,227816,365,3,0,2
41720,280174,2760,6,0,4
41724,217418,2286,6,0,3
41829,310274,3270,7,0,4
42043,212511,3353,5,0,3
42064,204255,429,2,57,1
42400,212062,567,3,0,2
42473,214168,2210,5,0,4
42816,185981,3128,7,0,3
43468,64379,73,3,0,2
50080,197731,2361,3,0,2
50081,198301,4284,2,0,1
50169,227267,2114,3,0,1
50211,50212,974,3,0,2
50285,225785,1842,3,0,2
50424,50429,2493,3,0,1
50428,50425,3029,3,0,2
50433,50435,3650,5,0,4
50434,50432,2963,5,0,3
50507,201013,287,1,0,1
64379,43468,243,3,0,1
65756,50210,2157,3,0,1
66110,310608,28,3,0,1
67692,41018,6,3,0,2
185965,186693,643,3,0,1
185980,42815,1916,7,0,4
186693,185965,630,3,0,2
195620,50080,2439,2,0,2
197763,200018,926,3,0,1
198300,198301,0,2,2627,1
198816,210405,3036,5,0,4
198824,198817,2241,5,0,4
199020,204893,364,2,0,2
199094,201734,833,1,0,2
199097,201375,274,1,0,1
199101,201739,588,1,0,2
199221,201859,478,2,0,1
199549,199595,1139,4,0,3
199595,199549,1034,4,0,4
199880,199913,3455,1,3120,1
199882,199883,991,1,13,1
199883,199882,697,1,0,2
200018,197763,655,3,0,2
200083,200148,1477,4,0,4
200148,200083,1374,4,0,3
200219,200979,767,2,0,2
200708,203644,880,1,1123,1
200943,203855,620,4,0,3
200979,200219,1514,2,197,1
201013,50507,72,1,0,2
201316,280346,1208,2,0,2
201375,199097,208,1,0,2
201734,199094,1046,1,1253,1
201739,199101,610,1,710,1
201859,199221,150,2,0,2
203644,200708,444,1,0,2
203855,200943,660,4,0,4
204255,42064,181,2,0,2
204685,40420,1577,1,310,1
204695,221777,1168,2,0,1
204893,199020,1116,2,50,1
204905,200231,2794,2,673,1
204952,221036,609,1,0,2
205059,199920,1645,1,0,2
205214,205215,1784,4,0,3
205215,205214,2782,4,0,4
205306,213936,710,2,0,2
208143,199943,1070,2,0,2
208400,228190,3015,7,0,3
209146,209147,629,3,0,2
209147,209146,350,3,0,2
210728,50081,4235,3,0,1
210816,40302,1557,7,0,4
211157,211158,824,4,0,3
211158,211157,213,4,0,4
211202,214195,752,3,0,2
212062,42400,494,3,0,1
212698,310133,663,3,0,2
212760,227771,554,3,0,2
213723,221928,2466,4,0,3
213936,205306,1653,2,2013,1
214195,211202,451,3,0,1
214258,213997,2654,5,0,3
217544,217554,2642,7,0,4
217719,197594,2605,6,0,4
217837,238898,592,3,0,2
218158,217174,1984,7,0,3
218566,221992,740,3,0,1
218703,310203,3373,3,0,1
220697,220714,3463,3,0,1
221036,204952,1376,1,1050,1
221777,204695,412,2,0,2
221796,40347,1422,2,2157,1
221992,218566,381,3,0,2
222578,222577,2892,3,0,1
225504,228197,514,3,0,2
225628,50284,3541,3,0,1
225717,227028,469,3,0,2
226140,310279,2742,7,0,3
226897,226898,851,3,0,1
227221,227222,2288,7,0,3
227265,225450,1220,3,0,1
227461,65574,818,3,0,2
227816,41053,463,3,0,1
227970,225931,368,3,0,1
228197,225504,1006,3,0,1
228270,226469,786,3,0,2
228529,206879,2280,7,0,4
228887,40214,1452,7,0,4
238032,40303,938,7,0,3
238898,217837,786,3,0,1
239371,218852,3118,3,0,2
239390,212271,3053,5,0,4
239400,239401,3634,4,0,4
240853,40350,1124,2,0,2
280175,41721,2678,6,0,3
280346,201316,1862,2,1650,1
300054,280061,1305,3,0,2
310135,212699,2219,3,0,1
310202,310237,1842,3,0,2
310608,66110,15,3,0,2
800004,800003,0,1,6283,1
800007,800006,0,2,7200,1
801001,801000,0,1,4056,1
801002,801001,0,2,6540,1
801029,801000,0,1,2417,1
801030,801029,0,2,3897,1
802008,802042,0,1,890,1
802029,802028,0,2,103,1
802097,802098,0,1,257,1
802124,802123,0,1,843,1
802134,802133,0,2,193,1
802165,802164,0,2,260,1
