i,j,@l_count,@l_count_type,@m_count,@direction
40347,221796,1645,2,0,2
40350,240853,1197,2,0,1
40420,204685,1764,1,0,2
41018,67692,11,3,0,1
41053,227816,680,3,0,2
41720,280174,2238,6,0,4
41724,217418,2351,6,0,3
41829,310274,3313,7,0,4
42043,212511,3194,5,0,3
42064,204255,192,2,0,1
42400,212062,580,3,0,2
42473,214168,2786,5,0,4
42816,185981,2616,7,0,3
43468,64379,343,3,0,2
50080,197731,3900,3,0,2
50081,198301,2549,2,0,1
50169,227267,1231,3,0,1
50211,50212,2115,3,0,2
50285,225785,3587,3,0,2
50424,50429,2986,3,0,1
50428,50425,2821,3,0,2
50433,50435,3927,5,0,4
50434,50432,3901,5,0,3
50507,201013,172,1,0,1
64379,43468,142,3,0,1
65756,50210,1274,3,0,1
66110,310608,38,3,0,1
67692,41018,24,3,0,2
185965,186693,719,3,0,1
185980,42815,3258,7,0,4
186693,185965,931,3,0,2
195620,50080,4070,2,0,2
197763,200018,878,3,0,1
198816,210405,2626,5,0,4
198824,198817,1547,5,0,4
199020,204893,1029,2,0,2
199094,201734,1200,1,0,2
199097,201375,186,1,0,1
199101,201739,719,1,0,2
199221,201859,351,2,0,1
199549,199595,1116,4,0,3
199595,199549,1141,4,0,4
199880,199913,1885,1,0,1
199882,199883,625,1,0,1
199883,199882,1044,1,0,2
200018,197763,752,3,0,2
200083,200148,1638,4,0,4
200148,200083,1369,4,0,3
200219,200979,1691,2,0,2
200708,203644,628,1,0,1
200943,203855,1176,4,0,3
200979,200219,916,2,0,1
201013,50507,192,1,0,2
201316,280346,2107,2,0,2
201375,199097,198,1,0,2
201734,199094,856,1,0,1
201739,199101,604,1,0,1
201859,199221,315,2,0,2
203644,200708,629,1,0,2
203855,200943,438,4,0,4
204255,42064,461,2,0,2
204685,40420,1105,1,0,1
204695,221777,490,2,0,1
204893,199020,674,2,0,1
204905,200231,1546,2,0,1
204952,221036,985,1,0,2
205059,199920,3354,1,0,2
205214,205215,1950,4,0,3
205215,205214,1749,4,0,4
205306,213936,1513,2,0,2
208143,199943,3077,2,0,2
208400,228190,2594,7,0,3
209145,209146,764,3,0,2
209146,209145,792,3,0,1
210728,50081,2647,3,0,1
210816,40302,1254,7,0,4
211157,211158,288,4,0,3
211158,211157,545,4,0,4
211202,214195,816,3,0,2
212062,42400,550,3,0,1
212698,310133,1863,3,0,2
212760,227771,1107,3,0,2
213723,221928,3753,4,0,3
213936,205306,880,2,0,1
214195,211202,685,3,0,1
214258,213997,2743,5,0,3
217544,217554,2648,7,0,4
217719,197594,2433,6,0,4
217837,238898,727,3,0,2
218158,217174,2481,7,0,3
218566,221992,538,3,0,1
218703,310203,2317,3,0,1
220697,220714,3066,3,0,1
221036,204952,1096,1,0,1
221777,204695,809,2,0,2
221796,40347,1013,2,0,1
221992,218566,991,3,0,2
222578,222577,1708,3,0,1
225504,228197,966,3,0,2
225628,50284,2517,3,0,1
225717,227028,502,3,0,2
226140,310279,3032,7,0,3
226897,226898,994,3,0,1
227221,227222,2006,7,0,3
227265,225450,649,3,0,1
227461,65574,2076,3,0,2
227816,41053,751,3,0,1
227970,225931,574,3,0,1
228197,225504,618,3,0,1
228270,226469,833,3,0,2
228529,206879,2964,7,0,4
228887,40214,2356,7,0,4
238032,40303,1386,7,0,3
238898,217837,889,3,0,1
239371,218852,3774,3,0,2
239390,212271,1953,5,0,4
239400,239401,4176,4,0,4
240853,40350,1946,2,0,2
280175,41721,2602,6,0,3
280346,201316,1400,2,0,1
300054,280061,2382,3,0,2
310135,212699,994,3,0,1
310225,310202,3430,3,0,2
310608,66110,38,3,0,2
