i,j,@l_count,@l_count_type,@m_count,@direction
40347,221796,18996,2,19000,2
40350,240853,17419,2,13100,1
40420,204685,17612,1,1385,2
41018,67692,176,3,0,1
41053,227816,6216,3,0,2
41720,280174,31297,6,0,4
41724,217418,28676,6,0,3
41829,310274,34173,7,0,4
42031,225749,0,4,760,4
42043,212511,42879,5,0,3
42064,204255,3068,2,650,1
42400,212062,6108,3,0,2
42473,214168,33006,5,0,4
42816,185981,32443,7,0,3
43468,64379,2359,3,0,2
50080,197731,37352,3,0,2
50081,198301,36522,2,0,1
50169,227267,14802,3,0,1
50211,50212,15742,3,0,2
50285,225785,28485,3,0,2
50424,50429,31229,3,0,1
50428,50425,30837,3,0,2
50433,50435,50350,5,0,4
50434,50432,46302,5,0,3
50507,201013,2077,1,0,1
64379,43468,1839,3,0,1
65756,50210,15783,3,0,1
66110,310608,341,3,0,1
185965,186693,7593,3,0,1
185980,42815,31282,7,0,4
186693,185965,8257,3,0,2
195620,50080,37352,2,0,2
195620,197730,0,2,22250,2
197763,200018,8345,3,0,1
198300,198301,0,2,22250,1
198816,210405,35895,5,0,4
198824,198817,27628,5,0,4
199020,204893,8567,2,125,2
199094,201734,14984,1,16860,2
199097,201375,2545,1,0,1
199101,201739,9606,1,13365,2
199221,201859,3031,2,0,1
199549,199595,17631,4,0,3
199595,199549,15664,4,0,4
199880,199913,28712,1,22855,1
199882,199883,10212,1,1435,1
199883,199882,11603,1,1435,2
200018,197763,7572,3,0,2
200083,200148,17321,4,7070,4
200148,200083,16778,4,7070,3
200219,200979,15268,2,1900,2
200708,203644,8342,1,11060,1
200943,203855,8474,4,1210,3
200979,200219,13477,2,1900,1
201013,50507,1358,1,0,2
201316,280346,21432,2,16175,2
201375,199097,2343,1,0,2
201734,199094,15261,1,16860,1
201739,199101,9125,1,13365,1
201859,199221,2211,2,0,2
203644,200708,7923,1,11060,2
203855,200943,6539,4,1210,4
204255,42064,3206,2,650,2
204685,40420,15661,1,1385,1
204695,221777,8602,2,0,1
204871,213218,0,4,8975,3
204893,199020,9849,2,125,1
204905,200231,25256,2,5275,1
204952,221036,11223,1,14935,2
205059,199920,29953,1,22855,2
205214,205215,21359,4,3500,3
205215,205214,24240,4,3500,4
205306,213936,14659,2,18625,2
208143,199943,26884,2,5275,2
208400,228190,32131,7,0,3
209145,209146,8743,3,0,2
209146,209145,7365,3,0,1
210728,50081,36511,3,0,1
210816,40302,14724,7,0,4
211157,211158,4894,4,9735,3
211158,211157,3944,4,9735,4
211202,214195,9213,3,0,2
212062,42400,5797,3,0,1
212698,310133,13991,3,0,2
212760,227771,9182,3,0,2
213218,204871,0,4,8975,4
213723,221928,45439,4,1840,3
213936,205306,14876,2,18625,1
214195,211202,7296,3,0,1
214258,213997,34674,5,0,3
217544,217554,25775,7,0,4
217719,197594,29844,6,0,4
217837,238898,6748,3,0,2
218158,217174,24443,7,0,3
218566,221992,6484,3,0,1
218703,310203,31482,3,0,1
220697,220714,39621,3,0,1
221036,204952,15957,1,14935,1
221777,204695,8135,2,0,2
221796,40347,16689,2,19000,1
221992,218566,6924,3,0,2
222578,222577,20581,3,0,1
222662,222663,0,4,5785,4
222681,222194,0,4,5785,3
225504,228197,8187,3,0,2
225628,50284,29248,3,0,1
225717,227028,5516,3,0,2
225749,42031,0,4,760,3
226140,310279,31731,7,0,3
226897,226898,9074,3,0,1
227221,227222,26802,7,0,3
227265,225450,9755,3,0,1
227461,65574,14465,3,0,2
227816,41053,6700,3,0,1
227970,225931,5209,3,0,1
228197,225504,7559,3,0,1
228270,226469,8911,3,0,2
228529,206879,30915,7,0,4
228887,40214,23337,7,0,4
238032,40303,13783,7,0,3
238898,217837,7375,3,0,1
239371,218852,40415,3,0,2
239390,212271,38150,5,0,4
239400,239401,51059,4,1840,4
240853,40350,17749,2,13100,2
280175,41721,32524,6,0,3
280346,201316,21155,2,16175,1
300054,280061,19892,3,0,2
310135,212699,16172,3,0,1
310225,310202,29524,3,0,2
310608,66110,373,3,0,2
800003,800004,0,1,62015,2
800004,800003,0,1,62015,1
800006,800007,0,2,65850,2
800007,800006,0,2,65850,1
801000,801001,0,1,36637,2
801000,801029,0,1,28008,2
801001,801000,0,1,36637,1
801001,801002,0,2,47975,2
801002,801001,0,2,47975,1
801029,801000,0,1,28008,1
801029,801030,0,2,36675,2
801030,801029,0,2,36675,1
802008,802042,0,1,13850,1
802028,802029,0,2,875,2
802029,802028,0,2,875,1
802042,802008,0,1,13850,2
802088,802089,0,4,2750,3
802089,802088,0,4,2750,4
802097,802098,0,1,4900,1
802098,802097,0,1,4900,2
802123,802124,0,1,13915,2
802124,802123,0,1,13915,1
802133,802134,0,2,3100,2
802134,802133,0,2,3100,1
802164,802165,0,2,4550,2
802165,802164,0,2,4550,1
