i,j,@l_count,@l_count_type,@m_count,@direction
40347,221796,1008,2,0,2
40350,240853,1637,2,1067,1
40420,204685,1034,1,0,2
41053,227816,289,3,0,2
41720,280174,2661,6,0,4
41724,217418,2513,6,0,3
41829,310274,3345,7,0,4
42043,212511,5035,5,0,3
42064,204255,521,2,60,1
42400,212062,293,3,0,2
42473,214168,2345,5,0,4
42816,185981,3219,7,0,3
50080,197731,2135,3,0,2
50081,198301,4129,2,0,1
50285,225785,1894,3,0,2
50424,50429,3973,3,0,1
50428,50425,4626,3,0,2
50433,50435,4378,5,0,4
50434,50432,4814,5,0,3
50507,201013,411,1,0,1
185965,186693,668,3,0,1
185980,42815,2149,7,0,4
186693,185965,575,3,0,2
195620,50080,2109,2,0,2
197763,200018,782,3,0,1
198300,198301,0,2,83,1
198816,210405,3769,5,0,3
198824,198817,2694,5,0,4
199020,204893,421,2,0,2
199094,201734,610,1,0,2
199097,201375,263,1,0,1
199101,201739,492,1,0,2
199221,201859,391,2,0,1
199549,199595,1130,4,0,3
199595,199549,877,4,0,4
199880,199913,2870,1,70,1
199882,199883,400,1,13,1
199883,199882,393,1,0,2
200018,197763,715,3,0,2
200083,200148,850,4,0,4
200148,200083,891,4,0,3
200219,200979,668,2,0,2
200708,203644,908,1,134,1
200943,203855,556,4,0,3
200979,200219,1082,2,117,1
201013,50507,151,1,0,2
201316,280346,1157,2,0,2
201375,199097,190,1,0,2
201734,199094,900,1,923,1
201739,199101,725,1,600,1
201859,199221,136,2,0,2
203644,200708,268,1,0,2
203855,200943,823,4,0,4
204255,42064,170,2,0,2
204685,40420,1638,1,37,1
204695,221777,1139,2,0,1
204893,199020,1178,2,0,1
204905,200231,2797,2,367,1
204952,221036,441,1,0,2
205059,199920,1550,1,0,2
205214,205215,1635,4,0,3
205215,205214,2199,4,0,4
205306,213936,710,2,0,2
208143,199943,894,2,0,2
208400,228190,3028,7,0,3
209145,209146,646,3,0,2
209146,209145,497,3,0,1
210728,50081,4172,3,0,1
210816,40302,1552,7,0,4
211157,211158,475,4,0,3
211158,211157,182,4,0,4
211202,214195,529,3,0,2
212062,42400,311,3,0,1
212698,310133,764,3,0,2
212760,227771,649,3,0,2
213723,221928,5068,4,0,3
213936,205306,1476,2,1667,1
214195,211202,474,3,0,1
214258,213997,2845,5,0,3
217544,217554,2672,7,0,4
217719,197594,2761,6,0,4
217837,238898,538,3,0,2
218158,217174,1817,7,0,3
218566,221992,535,3,0,1
218703,310203,2536,3,0,1
220697,220714,3159,3,0,1
221036,204952,1143,1,790,1
221777,204695,427,2,0,2
221796,40347,1294,2,1800,1
221992,218566,280,3,0,2
222578,222577,2638,3,0,1
225504,228197,622,3,0,2
225628,50284,3597,3,0,1
225717,227028,562,3,0,2
226140,310279,2590,7,0,3
227221,227222,2380,7,0,3
227265,225450,1237,3,0,1
227816,41053,441,3,0,1
227970,225931,452,3,0,1
228197,225504,864,3,0,1
228529,206879,2287,7,0,4
228887,40214,1584,7,0,4
238032,40303,916,7,0,3
238898,217837,657,3,0,1
239371,218852,3020,3,0,2
239390,212271,4166,5,0,4
239400,239401,4530,4,0,4
240853,40350,889,2,0,2
280175,41721,2891,6,0,3
280346,201316,2053,2,2250,1
300054,280061,1066,3,0,2
310135,212699,2104,3,0,1
310225,310202,1441,3,0,2
800004,800003,0,1,5200,1
800007,800006,0,2,5467,1
800020,800000,0,1,3567,1
800022,800021,0,2,2567,1
801001,801000,0,1,5417,1
801002,801001,0,2,8600,1
801029,801000,0,1,1879,1
801030,801029,0,2,2983,1
802008,802042,0,1,1000,1
802029,802028,0,2,117,1
802097,802098,0,1,390,1
802124,802123,0,1,873,1
802134,802133,0,2,283,1
802165,802164,0,2,283,1
